PLAY #,ODK,PERSONNEL,BACKFIELD,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,PLAYER,QTR
6,O,,PISTOL,1,10,M,-30,Pass,Complete,59,PRO OFF TWINS,DRIVE,L,L,,1
7,O,,I,1,10,R,11,Pass,Complete,-1,UNBALANCED WING,RPO POWER,R,L,,1
8,O,,PISTOL,2,11,L,12,Pass,Complete,5,UNBALANCED WING,RPO POWER,R,R,,1
9,O,,RIGHT,3,6,R,7,Pass,"Complete, TD",7,TWINS TIGHT,MESH,BAL,R,,1
30,O,,PISTOL,1,10,R,-41,Pass,Incomplete,0,ACE OFF,POST CROSS,L,L,,1
31,O,,LEFT,1,10,R,-41,Pass,Complete,4,PRO OFF TWINS,Y HOT,L,L,,2
32,O,,LEFT,2,6,L,-45,Pass,Complete,5,TREY OFF,QUICK SCREEN,L,L,,2
33,O,,I,3,1,L,50,Run,Rush,-2,UNBALANCED WING,,L,L,,2
41,O,,,1,10,M,1,,Timeout,0,HULK OVER,,,,,2
42,O,,I,1,10,M,1,Run,Rush,0,HULK OPEN,ZONE KICK,R,L,,2
43,O,,I,2,10,M,1,Run,Rush,-21,HULK OPEN,,R,R,,2
44,O,,,3,31,M,22,Pass,"Complete, TD",22,TRIPS BUNCH,VERTS,L,R,,2
56,O,,RIGHT,1,10,L,-43,Pass,Complete,21,TRIPS OPEN,SAIL,R,L,,2
57,O,,NEAR,1,10,R,36,Pass,Complete,14,TRIPS OPEN,HITCH,L,R,,2
58,O,,NEAR,1,10,R,22,Pass,Complete,0,TRIPS OPEN,BUBBLE,L,L,,2
59,O,,,2,10,L,22,Pass,Incomplete,0,TWINS,POST CROSS,BAL,L,,2
60,O,,,3,10,L,22,Pass,Penalty,11,DEUCE STACK,SMASH,BAL,R,,2
61,O,,I,1,10,L,11,Pass,Complete,10,EMPTY Y OFF,WAGGLE,BAL,L,,2
62,O,,I,1,1,L,1,Run,Rush,-24,DEUCE STACK,,BAL,R,,2
63,O,,,2,25,M,25,Pass,Incomplete,0,EMPTY,VERTS,R,L,,2
65,O,,I,1,10,L,-35,Run,Rush,10,PRO WING,POWER,L,L,,3
66,O,,I,1,10,L,-45,Run,Rush,5,PRO WING,DUO KICK,R,L,,3
67,O,,,2,5,L,50,Run,Rush,6,PRO WING,COUNTER,L,L,,3
68,O,,,1,10,L,44,Run,Rush,8,PRO WING,ZONE,R,R,,3
69,O,,,2,2,M,36,Run,Penalty,-11,UNBALANCED WING,ZONE,L,L,,3
70,O,,I,2,13,L,47,Pass,Interception,,PRO WING,VERTS,L,L,,3
75,O,,,1,10,R,22,Run,Rush,2,UNBALANCED TREY,JET,L,L,,3
